
Code;en05rg23
Strategie;in den ersten beiden teilen war es recht eindeutig zu hören, manchmal habe ich die töne nochmal im kopf nachgespielt, in den beiden letzten teilen habe ich mich vorrangig auf mein bauchgefühl verlassen
Alter;29
Weiblich;Männlich
Abschluss;Bachelor
Status;StudentIn
Daily;
DailyUW;
Ins_T;
Ins_TUW;
Ins;
InsUW;
Lob;
LobUW;
Mus_T;
Mus_TUW;
Musiker;
MusikerUW;
Prac;
PracUW;
MusicTraining;
MusicTrainingUW;
HV;kein Hörverlust
sonstHV;
ohrg_ja;Nein
HGja;Nein
hwoche;
jahre;
Kommentar;
